timestamp_s,x,y,polarity
0.397066000,149,110,1
0.397066000,97,141,-1
0.397067000,208,77,1
0.397069000,156,95,-1
0.397071000,157,101,-1
0.397071000,157,102,-1
0.397073000,97,150,-1
0.397075000,199,71,-1
0.397077000,170,162,1
0.397078000,122,182,-1
0.397079000,184,123,-1
0.397079000,120,181,-1
0.397080000,213,89,1
0.397083000,173,139,1
0.397083000,108,201,1
0.397085000,131,184,-1
0.397089000,173,152,1
0.397090000,224,85,1
0.397092000,185,123,-1
0.397092000,148,182,-1
0.397096000,157,89,-1
0.397097000,190,66,1
0.397105000,142,108,1
0.397105000,179,122,-1
0.397109000,97,142,-1
0.397114000,209,77,1
0.397114000,151,111,1
0.397114000,166,116,-1
0.397115000,155,113,1
0.397116000,98,156,-1
0.397117000,172,135,1
0.397120000,98,155,-1
0.397121000,139,184,-1
0.397122000,181,67,1
0.397124000,165,170,1
0.397126000,192,122,-1
0.397129000,288,87,1
0.397131000,191,66,1
0.397137000,164,114,-1
0.397137000,143,184,-1
0.397139000,166,123,1
0.397142000,146,109,1
0.397145000,209,86,1
0.397145000,117,112,1
0.397145000,130,184,-1
0.397146000,172,120,-1
0.397148000,196,70,-1
0.397148000,169,164,1
0.397150000,145,183,-1
0.397151000,199,69,1
0.397151000,161,110,-1
0.397152000,100,161,-1
0.397153000,169,128,1
0.397155000,162,110,-1
0.397156000,190,68,1
0.397156000,129,108,1
0.397157000,153,112,1
0.397158000,170,130,1
0.397158000,106,171,-1
0.397160000,99,133,-1
0.397162000,157,87,-1
0.397165000,178,122,-1
0.397165000,98,136,-1
0.397166000,166,115,-1
0.397166000,140,184,-1
0.397167000,213,88,1
0.397167000,119,111,1
0.397168000,159,107,-1
0.397169000,99,159,-1
0.397170000,180,122,-1
0.397173000,97,141,-1
0.397173000,164,172,1
0.397174000,173,140,1
0.397176000,210,80,1
0.397180000,97,151,-1
0.397182000,156,96,-1
0.397182000,168,126,1
0.397183000,197,68,1
0.397183000,161,78,-1
0.397183000,122,182,-1
0.397184000,202,67,1
0.397184000,107,172,-1
0.397186000,156,94,-1
0.397187000,157,101,-1
0.397187000,165,115,-1
0.397189000,120,181,-1
0.397190000,103,167,-1
0.397191000,192,121,-1
0.397192000,110,175,-1
0.397193000,158,115,1
0.397193000,131,184,-1
0.397195000,213,99,1
0.397195000,161,109,-1
0.397196000,163,113,-1
0.397197000,148,182,-1
0.397201000,208,86,-1
0.397206000,156,95,-1
0.397209000,173,152,1
0.397210000,97,153,-1
0.397210000,116,179,-1
0.397211000,202,71,1
0.397214000,157,102,-1
0.397216000,141,108,1
0.397216000,109,174,-1
0.397219000,97,149,-1
0.397222000,98,155,-1
0.397223000,184,123,-1
0.397223000,171,132,1
0.397223000,98,156,-1
0.397223000,125,183,-1
0.397224000,108,173,-1
0.397225000,97,142,-1
0.397228000,179,66,1
0.397229000,163,106,1
0.397229000,102,165,-1
0.397233000,169,118,-1
0.397234000,156,93,-1
0.397234000,114,178,-1
0.397235000,105,174,-1
0.397236000,185,123,-1
0.397237000,201,118,-1
0.397240000,139,184,-1
0.397241000,173,139,1
0.397242000,105,170,-1
0.397243000,161,106,-1
0.397245000,166,116,-1
0.397248000,208,77,1
0.397248000,160,109,-1
0.397251000,124,183,-1
0.397256000,165,170,1
0.397258000,186,123,-1
0.397260000,97,150,-1
0.397262000,165,78,-1
0.397262000,209,78,1
0.397262000,130,184,-1
0.397263000,100,161,-1
0.397263000,170,162,1
0.397264000,145,183,-1
0.397266000,213,100,1
0.397273000,164,114,-1
0.397275000,211,82,1
0.397278000,210,95,1
0.397280000,97,141,-1
0.397281000,230,72,1
0.397281000,192,122,-1
0.397287000,122,182,-1
0.397291000,173,140,1
0.397293000,199,69,1
0.397295000,149,110,1
0.397295000,155,113,1
0.397295000,175,117,1
0.397296000,134,106,-1
0.397296000,169,164,1
0.397298000,98,136,-1
0.397299000,173,68,-1
0.397299000,172,135,1
0.397299000,120,181,-1
0.397300000,99,131,1
0.397301000,166,111,-1
0.397301000,172,119,-1
0.397301000,131,184,-1
0.397302000,142,108,1
0.397302000,99,133,-1
